cell_id,crime_count_total,crime_burglary,crime_robbery,crime_assault,streetlight_count,bus_count,pred_poisson,pred_nb,pred_rf,pred_llm,pred_gwr,gi_star,kde_intensity,id,gi_z
510,1690,167,72,108,173,4,4340.329186859615,4804.756810586323,1863.552,2818.7105895639097,2818.7105895639097,-0.41003447072547233,1.5257010985330917e-09,510,
511,731,73,26,45,60,2,2011.3086035859612,1987.5671200624893,770.008,1874.2180061783497,1874.2180061783497,-0.24150088513087245,1.5374283260400903e-09,511,
512,4455,332,220,369,274,4,5552.779451724028,6429.367572489594,4692.976,5242.3361106758875,5242.3361106758875,0.698169101505415,1.5433796900037177e-09,512,
513,11247,571,644,802,101,6,3726.7763616027164,3942.459849007342,11819.28,4791.979327910323,4791.979327910323,1.1413563536417863,1.5442445828972482e-09,513,
514,4846,230,319,374,320,8,7640.419467733541,9092.729151433172,4885.436,7807.3243907999695,7807.3243907999695,1.4835604387937378,1.5442386510438455e-09,514,
515,8959,271,566,661,66,10,3563.517181818757,3651.702569061692,10862.2,7678.443518122591,7678.443518122591,0.9854510148722831,1.5442335907965596e-09,515,
516,5735,220,384,510,134,6,4333.630585534638,4712.301451755308,6373.236,5284.920873539342,5284.920873539342,0.8204704614352533,1.5442334197887826e-09,516,
517,8713,201,688,481,210,7,5814.503265330307,6624.277342492632,8548.156,5722.896094467447,5722.896094467447,0.46653708940168637,1.5442334180986268e-09,517,
518,4123,258,322,345,299,6,6660.353532454061,7832.727620331901,4293.288,4807.96526927239,4807.96526927239,0.8262922972597048,1.5442334181709844e-09,518,
519,8032,435,430,659,125,2,2971.9232592555263,3153.5487029547858,8296.592,3311.799660248032,3311.799660248032,1.7585993738827153,1.5442334301866495e-09,519,
520,7015,650,202,621,138,0,2016.027040747941,2110.9961346224522,7271.412,3062.4734796852294,3062.4734796852294,1.286474173089512,1.5442341687923297e-09,520,
521,2192,144,81,251,256,0,2806.4360956477744,3121.348454173077,2445.7,2531.636282206835,2531.636282206835,0.49479011619681873,1.5442498361763678e-09,521,
522,1939,98,74,163,168,3,3906.7231365316716,4292.362823619536,2131.684,4018.2352246867963,4018.2352246867963,0.5097299743051539,1.5442683860303689e-09,522,
523,4402,353,165,361,77,0,1477.229395522638,1461.5480894283717,4488.576,3754.2284137533015,3754.2284137533015,0.6182900893846318,1.5422192126904172e-09,523,
524,5698,445,216,443,136,0,2000.3625598426825,2091.616558106417,5787.168,3096.731717410026,3096.731717410026,1.5359997688301577,1.5271620428219386e-09,524,
525,5550,296,193,450,227,0,2631.291907262937,2892.363615944162,5683.552,3560.0486312580483,3560.0486312580483,0.9945262295398111,1.4831490787715843e-09,525,
526,229,20,7,11,16,0,650.6417074138895,554.3340495745782,229.972,1439.9068459230225,1439.9068459230225,-0.022497119852240618,1.343689391348347e-09,526,
527,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,891.1736051256521,891.1736051256521,-0.4459072532320193,1.0083755680865874e-09,527,
528,0,0,0,0,0,0,141.6115858519445,91.36275810818272,0.8355824284586731,392.36782105480285,392.36782105480285,-0.6292094664695292,8.527082727935523e-10,528,
529,448,51,12,34,41,0,1058.6490367850324,985.6711477085125,518.78,551.4802899475308,551.4802899475308,-0.5780115573074409,1.3174796727948775e-09,529,
530,1199,72,30,83,55,0,1235.9349370754965,1183.6885237946672,1173.788,617.6383673274515,617.6383673274515,-0.517524395396044,1.5385757219645846e-09,530,
531,950,70,29,57,140,4,3875.856055931492,4202.938356234267,934.676,1494.13809006241,1494.13809006241,-0.38756047213843536,1.5451704712395247e-09,531,
532,1532,143,41,153,82,0,1527.463338378018,1520.492172723475,1709.0,863.8883368921429,863.8883368921429,-0.34655077566913717,1.5391807970185277e-09,532,
533,2017,202,77,131,157,4,4120.745378537243,4518.695989502671,2124.564,2000.7788346085783,2000.7788346085783,-0.3526294571917263,1.5388709258554486e-09,533,
534,129,1,2,12,1,0,205.6444167168567,142.01399742344125,129.884,139.12336862914879,139.12336862914879,-0.3499325773612818,1.539851563859494e-09,534,
535,1866,68,161,146,6,2,627.2405294418393,501.187898925335,2026.964,704.3379441960411,704.3379441960411,-0.2558414366102198,1.5420139025961206e-09,535,
536,2085,169,61,156,99,4,3221.4844030486497,3377.510347354976,2133.64,3309.271739903787,3309.271739903787,0.15943524966186903,1.5437892464060411e-09,536,
537,7042,463,234,533,73,0,1435.9616765535193,1413.397110429339,7247.28,2240.823073897349,2240.823073897349,1.0419570684625479,1.5442305551514885e-09,537,
538,4569,410,150,404,151,0,2115.40972086421,2234.582185857468,4818.032,3034.4435290344873,3034.4435290344873,1.377525973079279,1.5442382976331105e-09,538,
539,6786,427,190,598,242,0,2723.0909101742113,3012.0469777793373,6898.028,4134.347064925997,4134.347064925997,1.3066793680096664,1.5442336878540288e-09,539,
540,2238,183,69,194,152,0,2122.8887748229176,2243.9262101129107,2342.104,3101.2282221763717,3101.2282221763717,0.949963500912943,1.5442334223477692e-09,540,
